datetime,open,high,low,close,slow,fast,Volume,Volume MA
2023-07-03T12:29:00-04:00,15340.25,15340.5,15337.5,15339.25,15342.20253,15341.50463,343,480.2
2023-07-03T12:30:00-04:00,15339.25,15340.25,15336,15337,15341.6068,15339.63148,460,487.55
2023-07-03T12:31:00-04:00,15336.5,15341,15336.25,15340.5,15341.15897,15338.83426,438,486
2023-07-03T12:32:00-04:00,15340.25,15343.5,15340,15342.5,15341.08135,15339.58611,574,478.85
2023-07-03T12:33:00-04:00,15343,15343.75,15337.75,15343.5,15341.3944,15341.48241,683,491.75
2023-07-03T12:34:00-04:00,15343.25,15346.5,15342,15342.75,15341.8568,15343.11759,671,500.5
2023-07-03T12:35:00-04:00,15342.75,15344.5,15340.5,15340.75,15342.09013,15343.2713,398,502.75
2023-07-03T12:36:00-04:00,15341,15343.25,15337.75,15338.25,15341.79444,15341.66481,393,506
2023-07-03T12:37:00-04:00,15337.75,15342.25,15337.75,15338.75,15341.23313,15339.69259,385,507.4
2023-07-03T12:38:00-04:00,15339,15343,15338.75,15342.25,15341.01869,15339.32593,314,498.8
2023-07-03T12:39:00-04:00,15342.5,15344,15342,15342.5,15341.06875,15340.30463,224,469.5
2023-07-03T12:40:00-04:00,15342.5,15346.25,15341.75,15345,15341.6335,15342.52685,334,444.4
2023-07-03T12:41:00-04:00,15345,15346.25,15342.25,15345,15342.47355,15344.60093,360,438.1
2023-07-03T12:42:00-04:00,15345.25,15347.5,15344.5,15347.5,15343.72841,15346.62315,509,444.8
2023-07-03T12:43:00-04:00,15347.25,15349.25,15345.5,15345.75,15344.95084,15347.53333,521,460.7
2023-07-03T12:44:00-04:00,15346.25,15346.75,15344,15346.5,15346.07998,15347.75741,459,463.55
2023-07-03T12:45:00-04:00,15346.25,15349.75,15346.25,15348.5,15347.22298,15348.11574,497,467.05
2023-07-03T12:46:00-04:00,15348,15350,15347.25,15349.75,15348.33264,15348.93333,314,442.75
2023-07-03T12:47:00-04:00,15350,15352.75,15350,15350.75,15349.47277,15350.21204,594,452.6
2023-07-03T12:48:00-04:00,15350.75,15351.5,15344,15346,15349.85088,15349.83796,535,450.3
2023-07-03T12:49:00-04:00,15345.75,15349.75,15344.75,15349.75,15350.12094,15349.52315,512,458.75
2023-07-03T12:50:00-04:00,15349.75,15352,15346.25,15348.25,15350.07978,15348.88519,1125,492
2023-07-03T12:51:00-04:00,15348.25,15350.25,15346,15347.75,15349.80594,15348.33981,289,484.55
