time,open,high,low,close,Plot,Plot,Volume,Volume MA
2023-07-02T20:42:00-04:00,15336,15336.75,15334.5,15336.25,15336.756004901961,15336.687962962964,37,43.5
2023-07-02T20:43:00-04:00,15336.25,15337,15335,15335,15336.50241013072,15335.955555555556,38,44.55
2023-07-02T20:44:00-04:00,15335,15335.75,15334.5,15335.75,15336.260886437909,15335.494444444446,37,45.35
2023-07-02T20:45:00-04:00,15335.75,15336.5,15335,15335,15335.912377450979,15335.066666666668,35,46.2
2023-07-02T20:46:00-04:00,15335,15335,15331.75,15331.75,15335.101348039218,15333.849074074074,82,48.2
2023-07-02T20:47:00-04:00,15332.25,15334.75,15331.75,15333.25,15334.273120915032,15332.862962962963,80,48.2
2023-07-02T20:48:00-04:00,15333.5,15333.75,15332,15332.5,15333.446160130721,15332.07685185185,34,47.05
2023-07-02T20:49:00-04:00,15332.25,15334,15332.25,15333.25,15332.834967320261,15332.001851851854,64,48.8
2023-07-02T20:50:00-04:00,15333.75,15335,15333.75,15334.75,15332.677022058822,15332.816666666666,52,49.55
2023-07-02T20:51:00-04:00,15334.75,15336.5,15334.75,15336.25,15333.018178104578,15334.321296296299,42,50.3
2023-07-02T20:52:00-04:00,15336.25,15337.5,15336.25,15336.25,15333.66977124183,15335.811111111112,39,50.7
2023-07-02T20:53:00-04:00,15335.75,15336.25,15334.75,15335.5,15334.37205882353,15336.558333333334,22,44.6
2023-07-02T20:54:00-04:00,15335.25,15336.25,15335,15335,15334.959293300653,15336.437037037036,30,42.3
2023-07-02T20:55:00-04:00,15334.75,15335.25,15334.5,15335,15335.349734477122,15335.843518518517,16,41.4
2023-07-02T20:56:00-04:00,15334.75,15335.5,15334.25,15335.25,15335.600857843136,15335.343518518517,14,40.35
2023-07-02T20:57:00-04:00,15335,15335,15333.75,15333.75,15335.522589869282,15334.664814814816,35,40.5
2023-07-02T20:58:00-04:00,15334.25,15334.75,15333.75,15334.75,15335.334252450979,15334.335185185186,14,39.75
2023-07-02T20:59:00-04:00,15335,15336.5,15335,15335.75,15335.222406045752,15334.563888888888,28,38.6
2023-07-02T21:00:00-04:00,15335,15335.5,15335,15335.5,15335.176838235295,15335.044444444444,12,36.45
